"fichier";"annee";"type";"sens";"valeur";"valeur_avant";"valeur_apres";"evolution";"evolution_pct";"distance";"contexte"
"5_qst_5-qst-1975-07-19.txt";"1975";"evolution_pct";"accroissement";"6.36";"";"";"";"";"263";"e à l'ensemble des bourses . Le nombre des parts attribuées et l'effectif des bénéficiaires -résultent de l'applIcsation de barèmes nationaux qui font chaque année l'objet d'aménagement portant sur l'accroissement des plafonds de ressources au-dessous desquels une bourse peut être accordée et sur le"
"5_qst_5-qst-1975-07-19.txt";"1975";"evolution_pct";"progression";"5.0";"";"";"";"";"493";"égations en qualité de stagiaires et des titularisations. En matière de constructions scolaires, le budget de 1974 a pour- suivi l 'effort des années précédentes. Les crédits ont progressé de près de 5 p. 100, la priorité ayant été donnée à la construction des écoles maternelles et des collèges d 'e"
"5_qst_5-qst-1975-07-19.txt";"1975";"evolution_pct";"progression";"14.27";"";"";"";"";"154";"on, permettra d'assurer dans les meilleures conditions possibles le fonctionnement du service public de l 'éducation. Le budget du ministère de l'éducation s'élève à 46 795 millions de francs soit un progression de 15,9 p . 100 par rapport au budget 1974, légèrement supérieure à celle de l 'ensemble"
"6_cri_1978-1979-ordinaire1_056.txt";"1978";"evolution_pct";"progression";"10.8";"";"";"";"";"214";"plus satisfai- sante sur l'intérêt et l'importance de leurs interventions outre- mer, celles-ci donnant trop souvent l'impression d'être marginales dans leurs préoccupations. Pour 1979, en effet, la progression de l'effort du budget de l'Etat en faveur des départements d'outre-mer apparaît bien mesu"
"6_cri_1978-1979-ordinaire1_056.txt";"1978";"evolution_pct";"progression";"2.0";"";"";"";"";"352";"plus satisfai- sante sur l'intérêt et l'importance de leurs interventions outre- mer, celles-ci donnant trop souvent l'impression d'être marginales dans leurs préoccupations. Pour 1979, en effet, la progression de l'effort du budget de l'Etat en faveur des départements d'outre-mer apparaît bien mesu"
"6_cri_1978-1979-ordinaire1_056.txt";"1978";"evolution_pct";"progression";"5.0";"";"";"";"";"293";"ons. Les attributions de la section départementale sont, en effet, accrues et les crédits, dont la répartition incombe aux assemblées départementales, augmentés . C'est ainsi qu'en 1979 la gestion de 5 p. 100 des crédits de paiement et de 42 p. 100 des auto- risations de programme sera confiée à l'i"
"6_cri_1978-1979-ordinaire1_056.txt";"1978";"evolution_pct";"progression";"42.0";"";"";"";"";"254";"artementale sont, en effet, accrues et les crédits, dont la répartition incombe aux assemblées départementales, augmentés . C'est ainsi qu'en 1979 la gestion de 5 p. 100 des crédits de paiement et de 42 p. 100 des auto- risations de programme sera confiée à l'initiative locale. En ce qui concerne le"
"6_cri_1978-1979-ordinaire1_058.txt";"1978";"evolution_pct";"augmentation";"58.0";"";"";"";"";"63";"e Premier ministre sur les inquiétudes tics rentiers viagers au sujet d 'un projet de soumission de revalorisation des rentes viagères de l 'i fat à leurs conditions de ressources. On fait état d'une augmentation des crédits cousaerés à cette reval :irisation de 58 p. 100 en trois ans, quand dans le"
"6_cri_1979-1980-ordinaire1_032.txt";"1979";"evolution_pct";"baisse";"8.3";"";"";"";"";"397";"augmenteront de 1,4 p. 100 en francs courants par rapport aux prévisions de l'année 1979 . Il n'est pas difficile de calculer que le volume de travaux et d'achats auquel cela cor• respond est donc en baisse de 8 à 9 p . 100 sur l'année précé- dente. Ainsi, une opération structurante aussi importante"
"6_cri_1979-1980-ordinaire1_032.txt";"1979";"evolution_pct";"baisse";"20.0";"";"";"";"";"452";"augmenteront de 1,4 p. 100 en francs courants par rapport aux prévisions de l'année 1979 . Il n'est pas difficile de calculer que le volume de travaux et d'achats auquel cela cor• respond est donc en baisse de 8 à 9 p . 100 sur l'année précé- dente. Ainsi, une opération structurante aussi importante"
"6_cri_1979-1980-ordinaire1_044.txt";"1979";"evolution_pct";"augmentation";"49.5";"";"";"";"";"332";"ons de francs en autorisations de programme pour contribuer au financement des infrastructures de la Guyane, dans le cadre du plan de développement de ce dépar- tement, et l'augmentation importante — 49,5 p. 100 — des crédits de paiement des deux sections du F . L D . O . M. qui devrait permettre un"
"6_cri_1979-1980-ordinaire1_045.txt";"1979";"evolution_pct";"accroissement";"40.0";"";"";"";"";"107";"9264 ASSEMBLEE NATIONALE — 2' SEANCE DU 31 OCTOBRE 1979 les encours soumis à réserve, de l'accroissement des crédits non encadrés. Celui-ci atteindra donc 20 à 30 p . 1.00 dès le 1 ."" novem- bre et 40 p. 100 à partir du 1"" janvier prochain. Or une telle évolution risque de toucher les crédits à l'ex"
"6_cri_1979-1980-ordinaire1_045.txt";"1979";"evolution_pct";"progression";"4.66";"";"";"";"";"218";"de garantie, ils devront conti- nuer à recevoir des aides de l'Etat en cas de calamité agricole. La commission m'a également chargé, monsieur le secrétaire d'Etat, de protester contre l'insuffisante progression des crédits destinés aux migrations. Votre budget, je le sais, n'est pas le seul à alimen"
"6_cri_1979-1980-ordinaire1_045.txt";"1979";"evolution_pct";"progression";"22.3";"";"";"";"";"391";"examen des dépenses affectées aux départements d'outre-mer par le projet de budget pour 1980 n'est guère réjouissant. Pour ce qui est des crédits plus particulièrement consacrés à votre ministère, la progression est faible. Leur volume demeure restreint. Ce n'est donc qu'en étudiant les budgets de t"
"6_cri_1979-1980-ordinaire1_045.txt";"1979";"evolution_pct";"augmentation";"1.9";"";"";"";"";"141";"postes revendiqués par les ressortis- sants des départements d'outre-mer ? Quant aux autres ministères, en dehors des P . T. T. --• 77 postes — l'évolution, qui se situe dans une fourchette de 1,1 à 1,9 p. 100, n'est pas significative. Au total, les dépenses civiles affectées aux départements d'outr"
"6_cri_1979-1980-ordinaire1_045.txt";"1979";"evolution_pct";"progression";"35.0";"";"";"";"";"58";"rre et que nous ne changerons pas de cap. L'intérêt croissant des autres ministères manifeste, également, la volonté du Gouvernement d'accentuer son effort en faveur des départements d'outre-nier. La progression des crédits qui leur seront consacrés atteint 35 p. 100 pour les ministères de fétu cati"
"7_cri_1981-1982-ordinaire1_070.txt";"1981";"evolution_pct";"augmentation";"12.0";"";"";"";"";"54";"départements et aux territoires d'outre-mer et sur ceux, plus particuliers, du dépar- tement de la Réunion. Nous devons d'abord exprimer un regret qui est sans doute le vôtre. C'est le faible taux d'augmentation des crédits affectés à votre ministère : 12 p. 100 seulement, soit à peine le niveau de "
"7_cri_1981-1982-ordinaire1_070.txt";"1981";"evolution_pct";"augmentation";"12.0";"";"";"";"";"348";"départements et aux territoires d'outre-mer et sur ceux, plus particuliers, du dépar- tement de la Réunion. Nous devons d'abord exprimer un regret qui est sans doute le vôtre. C'est le faible taux d'augmentation des crédits affectés à votre ministère : 12 p. 100 seulement, soit à peine le niveau de "
"7_cri_1982-1983-ordinaire1_057.txt";"1982";"evolution_pct";"diminution";"37.1";"";"";"";"";"313";". fonction publique dans le budget de l'Etat. En 1980 et 1981, l'ensemble des . dépenses induites a repré- senté 43,2 p. 109 du budget de l'Etat. En 1982, ce taux est tombé à 40,8 p. 100 — très nette diminution — du fait que les autres 'catégories des dépenses budgétaires se sont accrues davantage, "
