"fichier";"annee";"valeur_francs";"unite";"valeur_affichee";"score";"confiance";"densite_doc";"dans_fourchette";"contexte"
"4_cri_1968-1969-ordinaire1_050.txt";"1968";"850";"francs";"850 F";"9";"proche";"16";"non";"e moins de vingt ans représentent 52 p. 100 de la population, et une vaste opération de préformation professionnelle est éminemment souhaitable mais l 'insuffisance des crédits inscrits .pour 1969, 850.000 francs seulement, ne permettra pas de lui donner une ampleur suffisante. J'en arrive maintenan"
"4_cri_1968-1969-ordinaire1_050.txt";"1968";"800";"francs";"800 F";"9";"proche";"16";"non";"opulation depuis le dernier recensement et de la progression du volume des constructions exonérées de la contribution foncière. Les mesures nouvelles sont peu importantes . Elles se limitent, pour 4 .800.000 francs, à un renforcement de certains personnels, à des transformations d'emplois et à quelq"
"4_cri_1968-1969-ordinaire1_050.txt";"1968";"800";"francs";"800 F";"9";"proche";"16";"non";"la participation de l'Etat pour des mairies et pour la sous-préfecture de Saint- Paul de la Réunion. Il faut noter aussi que la subvention de l'Etat pour le service militaire adapté est réduite de 2 .800.000 francs en autorisations de programme et en crédits de paiement. Reste l'essentiel du budget "
"4_cri_1970-1971-ordinaire1_065.txt";"1970";"760";"F";"760 F";"9";"proche";"5";"non";"9, sur 19.656 exploitations, 8.792 étaient couvertes par une assurance Grêle, soit environ 46 p. 100, que les valeurs assurées en ce qui concèrne les vignes et les arbres fruitiers s'élevaient à 179 .760.533 F DEPARTEMENTS ET TERRITOIRES D 'OUTRE-MER Racisme. 12976. — M. Césaire attire l'attention d"
"4_cri_1968-1969-ordinaire1_050.txt";"1968";"300";"francs";"300 F";"9";"proche";"16";"non";"ension en année pleine de l'augmentation des rémunérations appli- cable au 1"" février 1968 900.000 francs pour l'application de divers textes concernant les rémunérations ou les avantages sociaux 300.000 francs pour l'ajustement des prestations d'ali- mentation du service militaire adapté 3.800.000 "
"4_cri_1968-1969-ordinaire1_050.txt";"1968";"200";"francs";"200 F";"9";"proche";"16";"non";"de programme diminuent de 1.050.000 francs. Il faut noter que les crédits d'équipement destinés à la sûreté nationale aug- mentent de 150 .000 francs et les subventions aux constructions publiques de 200.000 francs, représentant la participation de l'Etat pour des mairies et pour la sous-préfecture "
"6_cri_1978-1979-ordinaire1_050.txt";"1978";"1515675000";"francs";"1515675000 F";"8";"proche";"1";"non";"sations de programme et des crédits de paiement applicables aux dépenses en capital des services ciel (mesures nouvelles). TITRE V. — INVESTISSEMENTS EXÉCUTÉS PAR L'ETAT « Autorisations de programme, 1 515 675 000 francs s Crédits de paiement, 1 016 444 000 francs, » TITRE VI. — SUBVENTIONS D'INVEST"
"6_cri_1978-1979-ordinaire1_050.txt";"1978";"1016444000";"francs";"1016444000 F";"8";"proche";"1";"non";"t applicables aux dépenses en capital des services ciel (mesures nouvelles). TITRE V. — INVESTISSEMENTS EXÉCUTÉS PAR L'ETAT « Autorisations de programme, 1 515 675 000 francs s Crédits de paiement, 1 016 444 000 francs, » TITRE VI. — SUBVENTIONS D'INVESTISSEMENT ACCORDÉES PAR L ' ETAT e Autorisation"
"7_cri_1982-1983-ordinaire1_057.txt";"1982";"800000000";"millions";"800.0 millions";"8";"proche";"5";"non";"millions de francs. Or le compte général de l'administra- tion des finances, publié quelques mois plus tard, a fait appa- raître une somme de 1 042 millions de francs, soit une différence de plus de 800 millions de francs. Aussi votre rapporteur a-t-il cherché à connaître l'explication d'une telle d"
"4_cri_1968-1969-ordinaire1_050.txt";"1968";"750000000";"millions";"750.0 millions";"8";"proche";"16";"non";"me le plus préoccupant . Sont prévus : 158.40'1.000 francs d'autorisations de programme 128.400.000 francs pour la section centrale et 30 millions pour la section locale . Or le V° Plan avait prévu 750 millions de francs d'engagements pour cinq ans, auxquels se sont ajoutés par la suite 20 millions "
"6_cri_1979-1980-ordinaire1_044.txt";"1979";"644000000";"millions";"644.0 millions";"8";"proche";"3";"non";"que les dotations de ce budget ne, représentent plus aujourd'hui qu'environ 6 p. 100 de l'effort financier de l'Etat en faveur des départements d'outre-mer : 469 millions de francs sur un total de 9 644 millions de francs. Il s'agit là d'une tendance tout à fait normale qui s'inscrit dans le process"
"5_cri_1976-1977-ordinaire1_061.txt";"1976";"564000000";"millions";"564.0 millions";"8";"proche";"2";"non";"ramme d'action prioritaire dont la première année d'exécution s'annonce relativement conforme à l'échéancier initial. Pour les deux premières années d'exécution, la contribution de l'Etat aura été de 564 millions de francs sur les 1 339 millions de francs prévus pour les cinq ans, soit, en francs co"
"6_cri_1979-1980-ordinaire1_044.txt";"1979";"469000000";"millions";"469.0 millions";"8";"proche";"3";"oui";"satisfaisante, nous ne devons pas oublier que les dotations de ce budget ne, représentent plus aujourd'hui qu'environ 6 p. 100 de l'effort financier de l'Etat en faveur des départements d'outre-mer : 469 millions de francs sur un total de 9 644 millions de francs. Il s'agit là d'une tendance tout à "
"4_cri_1968-1969-ordinaire1_050.txt";"1968";"417000000";"millions";"417.0 millions";"8";"proche";"16";"oui";"vu 750 millions de francs d'engagements pour cinq ans, auxquels se sont ajoutés par la suite 20 millions de francs supplémentaires pour les primes d'emplois hôteliers. Sur les 770 millions de francs, 417 millions de francs seulement d'autorisations de programme ont été ouverts entre 1966 et 1968, et"
"7_cri_1982-1983-ordinaire1_057.txt";"1982";"381700000";"millions";"381.7 millions";"8";"proche";"5";"oui";"0 mai 1981. Dans le rapport de la commission des finances, il est indiqué que, pour les départements d'outre-mer, les autorisations de programme augmentent de 19,4 p . 100 passant de 319,6 millions à 381,7 millions de francs. En réalité, si l'on tient compte des annulations décidées par l'arrêté du "
"4_cri_1968-1969-ordinaire1_050.txt";"1968";"353000000";"millions";"353.0 millions";"8";"proche";"16";"oui";"r les 770 millions de francs, 417 millions de francs seulement d'autorisations de programme ont été ouverts entre 1966 et 1968, et il restera donc, pour les deux dernières années d'exécution du Plan, 353 millions de francs à engager, soit 176.500.000 francs pour chacune des deux années. Avec l'inscr"
"7_cri_1984-1985-ordinaire1_039.txt";"1984";"350604000";"francs";"350604000 F";"8";"proche";"2";"oui";"L' ETAT s Autorisations de programme : 39 316 000 francs. « Crédits de paiement : 23 590 000 francs. s TITRE VI . — SUBVENTIONS D ' INVESTISSEMENT ACCORDÉES PAR L'ETAT « Autorisations de programme : 350 604 000 francs. Crédits de paiement : 159 530 000 frimai., Je mets aux voix la réduction de crédi"
"5_cri_1976-1977-ordinaire1_061.txt";"1976";"339000000";"millions";"339.0 millions";"8";"proche";"2";"oui";"a première année d'exécution s'annonce relativement conforme à l'échéancier initial. Pour les deux premières années d'exécution, la contribution de l'Etat aura été de 564 millions de francs sur les 1 339 millions de francs prévus pour les cinq ans, soit, en francs constants, environ 24 p . 100. L'ef"
"7_cri_1982-1983-ordinaire1_057.txt";"1982";"319600000";"millions";"319.6 millions";"8";"proche";"5";"oui";"au lendemain du 10 mai 1981. Dans le rapport de la commission des finances, il est indiqué que, pour les départements d'outre-mer, les autorisations de programme augmentent de 19,4 p . 100 passant de 319,6 millions à 381,7 millions de francs. En réalité, si l'on tient compte des annulations décidées"
"7_cri_1982-1983-ordinaire1_057.txt";"1982";"301300000";"millions";"301.3 millions";"8";"proche";"5";"oui";"nulations décidées par l'arrêté du ministre chargé du budget en date du 18 octobre 1982, ces chiffres doivent être corrigés en moins. Les autorisations de programme ne seraient plus, en effet, que de 301,3 millions de francs soit 6 p. 100 de moins par rapport à 1982, ce qui, compte tenu de l'érosion"
"4_cri_1968-1969-ordinaire1_050.txt";"1968";"300200000";"francs";"300200000 F";"8";"proche";"16";"oui";"1iE 1968 M. Jean-Paul dé Roeca Serra, rapporteur spécial. Monsieur le secrétaire d'Etat, mes chers collègues, dans le projet de budget pour 1969, les crédits des départements d'outre-mer s 'élèvent à 300.200.000 francs, en augmentation de 21 .700.000 francs sur 1968. Ils progressent donc de 7,8 p. 1"
"7_cri_1982-1983-ordinaire1_057.txt";"1982";"233500000";"millions";"233.5 millions";"8";"proche";"5";"oui";"udgétaire de l'an dernier, il avait été' indiqué que le chapitre 31-44 dis ministère du budget, qui finance les primes et indemnités de • la direction générale des impôts, avait été abondé en 1980 de 233,5 millions de francs. Or le compte général de l'administra- tion des finances, publié quelques m"
"6_cri_1979-1980-ordinaire1_113.txt";"1979";"225500000";"millions";"225.5 millions";"8";"proche";"4";"oui";"amment aux décisions du Premier ministre concernant le lancement du plan pour la Guyane . Voilà qui est tout à fait significatif. Les crédits du F. I. D. O. M. passeront de 205 mil- lions de francs à 225,5 millions, compte non tenu des sommes consacrées à l'aide au sucre, qui ne vise pas l'investiss"
"4_cri_1968-1969-ordinaire1_050.txt";"1968";"176500000";"francs";"176500000 F";"8";"proche";"16";"oui";"ons de francs seulement d'autorisations de programme ont été ouverts entre 1966 et 1968, et il restera donc, pour les deux dernières années d'exécution du Plan, 353 millions de francs à engager, soit 176.500.000 francs pour chacune des deux années. Avec l'inscription d'un crédit de 158.400.000 franc"
"4_cri_1971-1972-ordinaire1_024.txt";"1971";"168500000";"millions";"168.5 millions";"8";"proche";"13";"oui";"réunionnaise d'orientation familiale Les crédits du F. I. D. O. M. constituent l'essentiel des dépenses a entrepris l'éducation des adultes par l'intermédiaire de huit en capital des titres V et VI : 168,5 millions de francs sur centres de consultations. Une association réunionnaise d'éduca- un tota"
"7_cri_1984-1985-ordinaire1_039.txt";"1984";"165387000";"francs";"165387000 F";"8";"proche";"2";"oui";"ÉS PAR L ' ETAT s Autorisations de programme : 5297000 francs. «Crédits de paiement : 2 061 000 francs.» TITRE VI. — SUBVENTIONS D 'INVESTISSEMENT ACCORDÉES PAR L ' ETAT «Autorisations de programme : 165 387 000 francs. « Crédits de paiement : 90 481 000 francs.» Je mets aux voix la réduction de cré"
"4_cri_1968-1969-ordinaire1_050.txt";"1968";"158400000";"francs";"158400000 F";"8";"proche";"16";"oui";"1968, et il restera donc, pour les deux dernières années d'exécution du Plan, 353 millions de francs à engager, soit 176.500.000 francs pour chacune des deux années. Avec l'inscription d'un crédit de 158.400.000 francs, un nouveau retard est donc pris et, à moins d'un rattrapage en 1970 — hypothèse "
"4_cri_1968-1969-ordinaire1_050.txt";"1968";"130840000";"francs";"130840000 F";"8";"proche";"16";"oui";"cet ensemble et j'examinerai ensuite, sous ses aspects les plus importants, la situation économique des départements d'outre-mer. Les crédits de paiement inscrits dans ce projet de budget s'élèvent à 130.840.000 francs pour les dépenses ordinaires, contre 118 .790.000 francs en 1968, et à 164 .450.0"
"4_cri_1968-1969-ordinaire1_050.txt";"1968";"128400000";"francs";"128400000 F";"8";"proche";"16";"oui";"crétariat d'Etat : la subvention du F. L D. O. M. Et c'est là que le budget qui vous est soumis pose le problème le plus préoccupant . Sont prévus : 158.40'1.000 francs d'autorisations de programme 128.400.000 francs pour la section centrale et 30 millions pour la section locale . Or le V° Plan avai"
"6_cri_1978-1979-ordinaire1_050.txt";"1978";"104383901";"francs";"104383901 F";"8";"proche";"1";"oui";"rits à la ligne : a Transports. — III. — Aviation civile et météorologie . » ETAT B Répartition des crédits applicables aux dépenses ordinaires (les services civils (mesures nouvelles). « Titre III : 104 383 901 francs « Titre IV : — 1 053 777 francs . » ETAT C Répartition des autorisations de progr"
"7_cri_1984-1985-ordinaire1_039.txt";"1984";"90481000";"francs";"90481000 F";"8";"proche";"2";"oui";": 5297000 francs. «Crédits de paiement : 2 061 000 francs.» TITRE VI. — SUBVENTIONS D 'INVESTISSEMENT ACCORDÉES PAR L ' ETAT «Autorisations de programme : 165 387 000 francs. « Crédits de paiement : 90 481 000 francs.» Je mets aux voix la réduction de crédits du titre IV. (La réduction de crédits es"
"5_cri_1974-1975-ordinaire1_046.txt";"1974";"45360000";"millions";"45.36 millions";"8";"proche";"8";"oui";"ier ministre sont personnellement très attachés, d'accroître cette année la dotation réservée à la section locale du fonds d'investissement des départements d'outre-nier qui va ainsi passer en 1975 à 45,36 millions de francs, alors que les documents budgétaires l'avaient fixée à 37,3 millions de fra"
"7_cri_1982-1983-ordinaire1_057.txt";"1982";"42000000";"millions";"42.0 millions";"8";"proche";"5";"oui";"générale des impôts, avait été abondé en 1980 de 233,5 millions de francs. Or le compte général de l'administra- tion des finances, publié quelques mois plus tard, a fait appa- raître une somme de 1 042 millions de francs, soit une différence de plus de 800 millions de francs. Aussi votre rapporteur"
"6_cri_1979-1980-ordinaire1_044.txt";"1979";"40000000";"millions";"40.0 millions";"8";"proche";"3";"oui";"t pour juger si l'effort annoncé se concrétisera dès l'année prochaine. Pour les crédits du budget des départements d'outre-mer proprement dit, on relève quelques points positifs : l'inscrip- tion de 40 millions de francs en autorisations de programme pour contribuer au financement des infrastructur"
"7_cri_1984-1985-ordinaire1_039.txt";"1984";"40000000";"millions";"40.0 millions";"8";"proche";"2";"oui";"rancs sur le F. I. D. E . S. général. Ces crédits ont été portés en 1984 à 33,3 millions de francs, auxquels il faut ajouter Il millions le francs du F .1. D.E.S. territorial, soit, au total, plus de 40 millions de flancs pour un territoire de 140000 habi- tants. ll conviendrait d'y ajouter aussi le"
"7_cri_1984-1985-ordinaire1_039.txt";"1984";"39316000";"francs";"39316000 F";"8";"proche";"2";"oui";"ns de programme et des crédits de paiement applicables aux dépenses en capital des services civils (mesures nouvelles). TITRE V . — INVESTISSEMENTS EXÉCUTÉS PAR L' ETAT s Autorisations de programme : 39 316 000 francs. « Crédits de paiement : 23 590 000 francs. s TITRE VI . — SUBVENTIONS D ' INVESTI"
"5_cri_1974-1975-ordinaire1_046.txt";"1974";"37300000";"millions";"37.3 millions";"8";"proche";"8";"oui";"tion réservée à la section locale du fonds d'investissement des départements d'outre-nier qui va ainsi passer en 1975 à 45,36 millions de francs, alors que les documents budgétaires l'avaient fixée à 37,3 millions de francs, et qu'elle ne représentait que 34 millions en 1974 . De ce fait, la dotatio"
