"=== THÈME ===";"reunion"
"Total documents";"70"
"Total occurrences";"2017"

"=== TOP ORATEURS ==="
"Rang";"Orateur";"Mentions"
"1";"M. Jean Fontaine";"219"
"2";"M. Michel Debré";"179"
"3";"M. Henri Emmanuelli";"104"
"4";"M. Victor Sablé";"96"
"5";"M. Olivier Stirn";"90"
"6";"M. Paul Dijoud";"81"
"7";"M. Emmanuel Hamel";"79"
"8";"M. Jean-Paul de Rocca Serra";"77"
"9";"M. Didier Julia";"73"
"10";"M. Robert-André Vivien";"63"
"11";"M. Aimé Césaire";"62"
"12";"M. Alain Vivien";"61"
"13";"M. Frédéric Jalton";"60"
"14";"M. Robert Le Foll";"56"
"15";"M. Ernest Moutoussamy";"54"
"16";"M. Jean-Paul Virapoullé";"50"
"17";"M. Georges Lemoine";"47"
"18";"M. Pierre Mauger";"43"
"19";"M. Camille Petit";"42"
"20";"M. Pierre Mazeaud";"42"
"21";"M. Bernard Marie";"41"
"22";"M. Albert Pen";"41"
"23";"M. Joseph Franceschi";"40"
"24";"M. Robert Montdargent";"39"
"25";"M. Antoine Gissinger";"36"
"26";"M. Guy Guermeur";"36"
"27";"M. Wilfrid Bertile";"36"
"28";"M. Guy Ducoloné";"35"
"29";"M. Marcel Esdras";"33"
"30";"M. Henri Beaujean";"32"

"=== COOCCURRENCES ==="
"Thème associé";"Occurrences"
"budget";"10670"
"emploi";"10168"
"migration";"9565"
"antilles";"3313"
"formation";"3251"
"transport";"2805"
"insertion";"1458"
"logement";"1451"
"racisme";"1134"

"=== DOCUMENTS ==="
"Fichier";"Année";"Occurrences";"Mentions BUMIDOM";"Type"
"7_cri_1982-1983-ordinaire1_057.txt";"1982";"22";"6";"Compte rendu"
"4_cri_1969-1970-ordinaire1_033.txt";"1969";"21";"1";"Compte rendu"
"6_cri_1979-1980-ordinaire1_032.txt";"1979";"21";"1";"Compte rendu"
"6_qst_6-qst-1980-09-08.txt";"1980";"21";"1";"Question écrite"
"5_qst_5-qst-1975-07-19.txt";"1975";"20";"1";"Question écrite"
"4_cri_1971-1972-ordinaire1_067.txt";"1971";"19";"2";"Compte rendu"
"8_cri_1986-1987-ordinaire1_087.txt";"1986";"19";"1";"Compte rendu"
"4_qst_4-qst-1972-07-29.txt";"1972";"18";"4";"Question écrite"
"5_cri_1976-1977-ordinaire2_051.txt";"1976";"18";"1";"Compte rendu"
"5_cri_1973-1974-ordinaire1_088.txt";"1973";"15";"3";"Compte rendu"
"5_cri_1976-1977-ordinaire1_061.txt";"1976";"15";"2";"Compte rendu"
"6_cri_1978-1979-ordinaire1_056.txt";"1978";"15";"5";"Compte rendu"
"7_cri_1984-1985-ordinaire1_039.txt";"1984";"15";"2";"Compte rendu"
"6_cri_1979-1980-ordinaire2_067.txt";"1979";"14";"1";"Compte rendu"
"5_cri_1975-1976-ordinaire2_086.txt";"1975";"12";"2";"Compte rendu"
"5_cri_1976-1977-ordinaire2_024.txt";"1976";"12";"1";"Compte rendu"
"8_cri_1986-1987-ordinaire1_065.txt";"1986";"12";"1";"Compte rendu"
"6_cri_1978-1979-ordinaire2_017.txt";"1978";"11";"2";"Compte rendu"
"4_qst_4-qst-1969-02-15.txt";"1969";"9";"1";"Question écrite"
"5_cri_1977-1978-ordinaire1_048.txt";"1977";"9";"1";"Compte rendu"
"6_cri_1978-1979-ordinaire1_106.txt";"1978";"9";"1";"Compte rendu"
"4_tnominative_1968-1973_tnominative_IO.txt";"1968";"8";"1";"Autre"
"7_qst_7-qst-1981-10-19.txt";"1981";"8";"2";"Question écrite"
"2_qst_2-qst-1964-09-12.txt";"1964";"7";"1";"Question écrite"
"4_cri_1970-1971-ordinaire1_065.txt";"1970";"7";"3";"Compte rendu"
"4_qst_4-qst-1969-09-27.txt";"1969";"7";"1";"Question écrite"
"7_cri_1981-1982-ordinaire2_103.txt";"1981";"7";"1";"Compte rendu"
"6_cri_1978-1979-ordinaire1_058.txt";"1978";"6";"1";"Compte rendu"
"4_cri_1972-1973-ordinaire1_063.txt";"1972";"5";"3";"Compte rendu"
"4_qst_4-qst-1971-07-10.txt";"1971";"5";"2";"Question écrite"
"5_cri_1975-1976-ordinaire1_038.txt";"1975";"5";"2";"Compte rendu"
"6_cri_1979-1980-ordinaire1_113.txt";"1979";"5";"5";"Compte rendu"
"4_cri_1970-1971-ordinaire1_060.txt";"1970";"4";"1";"Compte rendu"
"6_cri_1979-1980-ordinaire1_044.txt";"1979";"4";"2";"Compte rendu"
"8_cri_1985-1986-ordinaire2_049.txt";"1985";"2";"1";"Compte rendu"
"5_cri_1975-1976-ordinaire2_035.txt";"1975";"1";"1";"Compte rendu"
"8_cri_1985-1986-extraordinaire1_015.txt";"1985";"1";"1";"Compte rendu"
