"Fichier";"Année";"Page";"Extrait"
"4_cri_1972-1973-ordinaire1_045.txt";"1972";"20";"e, puisque l'augmentation du mouvement de migration de trois cents personnes environ entrainera une dépense supérieure à 1,6 million de francs. J'indique, à ce sujet, que 9 .165 migrations ont été enre- gistrées en 1971. L'objectif que l'on se propose d'atteindre à la fin du VI' Plan est de 2 .500 pour chacun des deux départements des Antilles et de 8 .000 pour le département de la Réunion. Or le"
"4_cri_1972-1973-ordinaire1_063.txt";"1972";"9";"es difficultés des travailleurs salariés privés d'emploi par suite des mutations de toute nature. Le Gouvernement, devant 'l'ampleur des transformations éco- nomiques, sociales et démographiques dans les départements d 'outre-mer, a pris, par arrêté ministériel du 26 avril 1963, la décision de créer un bureau pour le développement des migra- tions dans ces départements insulaires et lointains, ou"
"4_cri_1972-1973-ordinaire1_063.txt";"1972";"10";"deloupe et la Martinique . En conséquence, ce sont les jeunes arrivant sur le marché du travail et rencontrant des difficultés pour trouver un premier emploi, malgré leurs diplômes, leur formation et leur qualification professionnelle, qui viennent grossir le lot des chômeurs . Or la mécanisation inéluctable et la concentration des unités industrielles risquent d'aggraver le chômage. A travers le"
"4_cri_1972-1973-ordinaire1_063.txt";"1972";"11";"jeunes, sans dis- tinction de région ou de département. Aussi est-il indispensable que les demandeurs d'emploi trou- ent, auprès d'un organisme habilité, les renseignements précis qu'ils sollicitent. La création d'une antenne de l'Agence natio- nale pour l'emploi s'avère urgente aux Antilles, car nombreux sont les Guadeloupéens qui viennent spontanément en France métropolitaine sans passer par le"
"4_qst_4-qst-1969-08-23.txt";"1969";"13";"""hargé des départements et territoires d'outre-mer, qu 'à la suite de la question écrite n"""" 3916 posée le 15 fevrier 1969 à M . le ministre de l 'économie et des finances, à laquelle il a été répondu le 19 avril et qui concernait le solde migratoire en faveur des entrées qui a été de 94 unités à la Réunion en 1967, malgré le chiffre de 3.011 unités atteint par la migration en métropole au titre du"""
"4_qst_4-qst-1969-09-27.txt";"1969";"96";"""chargé des départements et territoires d'outre-mer, qu 'à la suite de la question écrite n"""" 3916 posée le 15 février 1969 à M. le ministre de l 'économie et des finances, à laquelle il a été répondu le 19 avril et qui concernait le solde migratoire en faveur des entrées qui a été de 94 unités à la Réunion en 1967, malgré le chiffre de 3.011 unités atteint par la migration en métropole au titre du"""
"4_qst_4-qst-1971-07-10.txt";"1971";"71";"tre-mer, aux mêmes exonérations que clans la métropole. Le décret qui doit en fixer le montant est en cours d 'élaboration et paraîtra aussitôt que sera publié le texte concernant la métropole. Français d 'outre-mer. 18773. — M. Césaire expose à M. le ministre d'Etat chargé des départements et territoires d'outre-mer qu 'un certain nombre d'Antillais, venus en France par le canal du très officiel"
"4_qst_4-qst-1971-07-10.txt";"1971";"71";". Il lui demande quelles dispositions il compte prendre pour que les mesures d 'expulsion soient rapportées et que les migrants aient l 'assurance non seule- ment d'être maintenus au Foyer Rush del Campo . mais encore de pouvoir y vivre dans des conditions décentes jusqu 'à ce qu 'ils trouvent du travail et un logement nouveau . (Question du 8 juin 1971 .( Réponse. — La convention signée entre le"
"4_qst_4-qst-1972-07-29.txt";"1972";"26";"e fin à ces pratiques. Travailleurs originaires des départements d 'outre-mer (rapatriement d 'un corps). 24598. — M. Flouât attire l 'attention de M. le Premier ministre (départements et territoires d'outre-mer) sur les conditions dans lesquelles a vécu, travaillé et est morte dans notre pays une jeune Réunionnaise de vingt-deux ans, émigrée en France le 5 novem- bre 1971 par l 'intermédiaire du"
"4_qst_4-qst-1972-07-29.txt";"1972";"26";"e réservée à ces travailleurs, pendant son court séjour chez nues, puisqu 'elle devait décéder à l 'hôpital de l 'Hôtel- Dieu le 7 avril 1972, le corps a été rapatrié à la Réunion son pays d 'origine. Le coût du rapatriement et des funérailles s'élevant à 5.000 francs, le Bumidom vient d 'indiquer que ces sommes seront prélevées sur te capital décès. II lui semble absolument inadmis- sible que le"
"4_qst_4-qst-1972-07-29.txt";"1972";"26";"à son travail ou à ses conditions de vie — a été évoqué par M . le député Houel, a été placée à Lyon après avoir effectué un stage professi'Innel . Ses conditions de tra- vail répondaient aux stipulations des conventions collectives . Ses émoluments et les avantages en nature étalent ceux des employées de maison confirmées . Ayant quitté son emploi après quinze jours, cette migrante a demandé au B"
"4_tnominative_1968-1973_tnominative_IO.txt";"1968";"15";"""e ; crédits du F.I.D.O .M. ; problème des liaisons aériennes ; industrie sucrière application aux usines Gardel et Sainte- Marthe à la Guadeloupe d'une formule du type Sosumag utilisée à Marie-Galante ; ses observations sur le rhum ; primes d'équipe- ment ; incidence du projet de loi concernant les loyers des locaux d'habitation dans les départements d'outre-mer ; démographie migrations ; rôle du"""
