fichier;annee;valeur_francs;unite;contexte
7_cri_1982-1983-ordinaire1_057.txt;1982;338097000;francs;"lles). TITRE V . — INVESTISSEMENTS EXÉCUTÉS PAR L ' ETAT e Autorisations de programme : 43 600 000 francs ; «Crédits de paiement : 30 786 000 francs. s TITRE VI . — SUBVENTIONS D ' INVESTISSEMENT ACCORDÉES PAR L ' ETAT < Autorisations de programme : 338 097 000 francs ; < Crédits de paiement : 118 562 000 francs.> Personne ne demande la parole ? . .. Je mets aux voix le titre IV. (Le titre IV est adopté .) M. le président . Je mets aux voix les autorisations de pro- gramme du titre V. (Les autor"
6_cri_1979-1980-ordinaire1_032.txt;1979;302787302;francs;"lique et de l'union pour la démocratie française .) M. le président. J'appelle les crédits inscrits à la ligne Trans- ports e . ETAT B Répartition des crédits applicables aux dépenses ordinaires des services civils (mesures nouvelles). « Titre III : 302 787 302 francs ; e Titre IV : 3 019 086 282 francs. ETAT C Répartition des autorisations de programme et des crédits de paiement applicables aux dépenses en capital des services civils (mesures nouvelles). TITRE V. — INVESTISSEMENTS EXÉCUTÉS PAR"
6_qst_6-qst-1980-08-25.txt;1980;294174000;francs;"risation 1979), soit par habitant : 3632 ASSEMBLES NATIONALE — QUESTIONS ET REPONSES 25 Août 1980 462 francs X 1,1904 = 549,96 francs ; app -lication théorique à la dotation de la Réunion : 549,96 francs, habitant X 486 275 habitants X 110 p. 100 = 294 174 000 francs ; dotations notifiées effecti- vement : 205 029 000 francs . Le manque à gagner en 1980 est égal à 89 145 000 francs, soit 183,32 francs par habitant en 1975. C 'est pour- quoi il souhaite avoir à ce sujet de plus amples explicatio"
7_cri_1981-1982-ordinaire1_070.txt;1981;279600000;francs;"fait quelques réserves, que je crois fondées, sur la départementalisation . J'ai déjà dit que le 3218 ASSEMBLEE NATIONALE — 2• SEANCE DU 5 NOVEMBRE 1981 TITRE VI. — SUBVENTIONS D ' INVESTISSEMENT ACCORDÉES PAR L'ETAT e Autorisations de programme : 279 600 000 francs ; e Crédits de paiement : 90 699 000 francs . s Sur le titre IV de l'état B, 11IM. Bertile, Jalton et les membres du groupe socialiste ont présenté un amendement, n"" 71, ainsi rédigé s Réduire les crédits de 7 750 000 francs . a La"
5_cri_1974-1975-ordinaire1_046.txt;1974;279585997;francs;, au chiffre de 423 039 366 francs. (Ces crédits sont adoptés .) M. le président . J'appelle maintenant les crédits du budget annexe des poudres. Personne ne demande la parole ? . .. Je mets aux voix les crédits ouverts à l'article 27, au chiffre de 279 585 997 francs. (Ces crédits sont adoptés .) M. le président. Je mets aux voix la réduction de crédit proposée au paragraphe II de l'article 28, au titre des mesures nouvelles, au chiffre de 210 773 996 francs. (La réduction de crédit est adoptée
5_cri_1976-1977-ordinaire1_062.txt;1976;262693000;francs;"ses en capital des ser- vices civils (mesures nouvelles). TITRE V. — INVESTISSEMENTS EXÉCUTÉS PAR L ' ETAT Autorisations de programme : 799 000 francs. » TITRE VI . — SUBVENTIONS D ' INVESTISSEMENT ACCORDÉES PAR L'ETAT s Autorisations de programme : 262 693 000 francs ; e Crédits de paiement : 53 258 000 francs. e MM. Alain Vivien, Frêche, Césaire, Jalton, Houteer, Boulay et les membres du groupe du parti socialiste et des radicaux de gauche et apparentés ont présenté un amendement n"" 271 ainsi"
6_cri_1979-1980-ordinaire1_045.txt;1979;242875000;francs;"elles). TITRE V. — INVESTISSEMENTS EXÉCUTÉS PAR L 'ETAT e Autorisations de programme : 40 millions de francs «Crédits de paiement : 28 millions de francs.» TITRE VI . — SUBVENTIONS D'INVESTISSEMENT ACCORDÉES PAR L'ETAT e Autorisations de programme : 242 875 000 francs ; e Crédits de paiement : 125 660 000 francs .» Sur le titré III, je suis saisi de deux amendements identiques, n"" 358 et 368. L 'amendement n° 358 est présenté par M. Didier Julia ; l'amendement n° 368 est présenté par M. Claude M"
5_cri_1974-1975-ordinaire1_047.txt;1974;227700000;francs;s en capital des services civils (mesures nouvelles). TITRE V . — INVESTISSEMENTS EXÉCUTÉS PAR L ' ETAT « Autorisations de programme : 750 000 francs . » TITRE VI. — SUBVENTIONS D' INVESTISSEMENT ACCORDÉES PAR L ' ETAT « Autorisations de programme : 227 700 000 francs : « Crédits de paiement : 106 420 000 francs. » Personne ne demande la parole ? . .. Je mets aux voix le titre m. (Le titre III est adopté .) M. le président . Je mets aux voix le titre IV. (Le titre 1V est adopté .) M. le présiden
5_cri_1974-1975-ordinaire1_046.txt;1974;210773996;francs;voix les crédits ouverts à l'article 27, au chiffre de 279 585 997 francs. (Ces crédits sont adoptés .) M. le président. Je mets aux voix la réduction de crédit proposée au paragraphe II de l'article 28, au titre des mesures nouvelles, au chiffre de 210 773 996 francs. (La réduction de crédit est adoptée .) M. le président. J'appelle maintenant l'article 47 rattaché à la discussion des crédits militaires. Frais d'exploitation des services, 500 000 francs. Entretien des immeubles et du domaine mi
6_qst_6-qst-1980-08-25.txt;1980;205029000;francs;"LE — QUESTIONS ET REPONSES 25 Août 1980 462 francs X 1,1904 = 549,96 francs ; app -lication théorique à la dotation de la Réunion : 549,96 francs, habitant X 486 275 habitants X 110 p. 100 = 294 174 000 francs ; dotations notifiées effecti- vement : 205 029 000 francs . Le manque à gagner en 1980 est égal à 89 145 000 francs, soit 183,32 francs par habitant en 1975. C 'est pour- quoi il souhaite avoir à ce sujet de plus amples explications et lui demande en outre les dispositions qu'il compte pr"
