fichier;annee;pourcentage;contexte
2_cri_1966-1967-ordinaire1_021.txt;1966;30;réflexions à ce propos. Au moment où l'on parle beaucoup du grave déséquilibre de la sécurité sociale, pensez-vous vraiment, monsieur le ministre, que nous puissions compter sur son intervention ? Il n 'est déjà plus question d'une participation de 30 p. 100. Très timidement, on ne fait plus état que de 10 p. 100 et la commission a même formulé une hypothèse excluant tout apport. Est-il par ailleurs raisonnable de tabler sur les possibilités financières des collec- tivités locales? Vous savez q
2_cri_1966-1967-ordinaire1_021.txt;1966;10;p du grave déséquilibre de la sécurité sociale, pensez-vous vraiment, monsieur le ministre, que nous puissions compter sur son intervention ? Il n 'est déjà plus question d'une participation de 30 p. 100. Très timidement, on ne fait plus état que de 10 p. 100 et la commission a même formulé une hypothèse excluant tout apport. Est-il par ailleurs raisonnable de tabler sur les possibilités financières des collec- tivités locales? Vous savez que celles-ci sont accablées de charges, de plus en plus
2_cri_1966-1967-ordinaire1_021.txt;1966;80;utuellement. Quels ont été les résultats d'une telle méthode ? J'ai malheureusement oublié sur mon pupitre le dossier conte- nant les chiffres dont je comptais donner lecture à la tribune. Je me rappelle toutefois quelques-uns d'entre eux . En 1954, 80 p. 100 des malades alcooliques admis à l 'hôpital l'étaient par placement d'office . Aujourd'hui, 80 p . 100 des alcooliques admis le sont volontairement . La proportion des guérisons s'est éga- lement renversée : 40 p. 100 des malades réintégraie
2_cri_1966-1967-ordinaire1_021.txt;1966;40;lques-uns d'entre eux . En 1954, 80 p. 100 des malades alcooliques admis à l 'hôpital l'étaient par placement d'office . Aujourd'hui, 80 p . 100 des alcooliques admis le sont volontairement . La proportion des guérisons s'est éga- lement renversée : 40 p. 100 des malades réintégraient l'hôpital dans l'année de leur sortie, alors que ce pourcentage est aujour- d'hui ramené à 7 p . 100. La durée d'hospitalisation a (le son côté diminué considérablement : elle est passée de 100 à 30 jours. Ainsi le
2_cri_1966-1967-ordinaire1_021.txt;1966;23;"résolu. Mais les ternies dans lesquels il se pose ne sont pas tout à fait ceux que l'on indique parfois . Consta- tant que les chiffres inscrits au V"" Plan pour les autorisations de programme, c'est-à-dire pour les subventions, ne représen- tent que 23 p. 100 de l'enveloppe totale des travaux d'équipe- ment sanitaire et social prévus au Plan, rapprochant ce pour- centage de 23 p. 100 du taux de subvention antérieurement et habituellement pratiqué pour beaucoup d'équipements sanitai- res et qui e"
2_cri_1966-1967-ordinaire1_021.txt;1966;23;"chiffres inscrits au V"" Plan pour les autorisations de programme, c'est-à-dire pour les subventions, ne représen- tent que 23 p. 100 de l'enveloppe totale des travaux d'équipe- ment sanitaire et social prévus au Plan, rapprochant ce pour- centage de 23 p. 100 du taux de subvention antérieurement et habituellement pratiqué pour beaucoup d'équipements sanitai- res et qui est de 40 p . 100, certains ont pensé qu'il y avait réduction du taux de subvention de 40 à 23 p . 100. La réalité est tout à fa"
2_cri_1966-1967-ordinaire1_021.txt;1966;1;s inscrites au V' Plan, de l'enveloppe globale des travaux prévus au V' Plan. Or, si l'on compare le total des autorisations de pro- gramme prévues au IV' Plan et le volume des travaux réalisés ASSEMIII .EE NATIONALE — 2' SEAN(:i' 1)U 20 Ot°I'OBIlE 1%6 3641 au cours du IV' Plan, on constate que le rapport est de 18 p. 100. Ainsi, le pourcentage prévu pour le V° Plan — 23 p. 100 — est supérieur de 5 p. 100 au pourcentage prévu pour le IV'. Mais alors on est conduit à s'interroger : comment, au c
2_cri_1966-1967-ordinaire1_021.txt;1966;18;au V' Plan. Or, si l'on compare le total des autorisations de pro- gramme prévues au IV' Plan et le volume des travaux réalisés ASSEMIII .EE NATIONALE — 2' SEAN(:i' 1)U 20 Ot°I'OBIlE 1%6 3641 au cours du IV' Plan, on constate que le rapport est de 18 p. 100. Ainsi, le pourcentage prévu pour le V° Plan — 23 p. 100 — est supérieur de 5 p. 100 au pourcentage prévu pour le IV'. Mais alors on est conduit à s'interroger : comment, au cours du IV' Plan et avec un taux de subvention de 40 p . 100 dans
2_cri_1966-1967-ordinaire1_021.txt;1966;23;ns de pro- gramme prévues au IV' Plan et le volume des travaux réalisés ASSEMIII .EE NATIONALE — 2' SEAN(:i' 1)U 20 Ot°I'OBIlE 1%6 3641 au cours du IV' Plan, on constate que le rapport est de 18 p. 100. Ainsi, le pourcentage prévu pour le V° Plan — 23 p. 100 — est supérieur de 5 p. 100 au pourcentage prévu pour le IV'. Mais alors on est conduit à s'interroger : comment, au cours du IV' Plan et avec un taux de subvention de 40 p . 100 dans la plupart des cas, le rapport .entre le montant total d
2_cri_1966-1967-ordinaire1_021.txt;1966;5;IV' Plan et le volume des travaux réalisés ASSEMIII .EE NATIONALE — 2' SEAN(:i' 1)U 20 Ot°I'OBIlE 1%6 3641 au cours du IV' Plan, on constate que le rapport est de 18 p. 100. Ainsi, le pourcentage prévu pour le V° Plan — 23 p. 100 — est supérieur de 5 p. 100 au pourcentage prévu pour le IV'. Mais alors on est conduit à s'interroger : comment, au cours du IV' Plan et avec un taux de subvention de 40 p . 100 dans la plupart des cas, le rapport .entre le montant total des sub- ventions et le montan
