"fichier";"annee";"nature";"valeur";"score";"confiance";"contexte"
"4_cri_1972-1973-ordinaire1_063.txt";"1972";"transfert";"1240.0";"4";"moyen";"projet de loi prétend faire disparaître une anomalie et une injustice que nous dénonçons depuis longtemps, à savoir que les jeunes à la recherche d'nn emploi sont exclus du béné- fice de la prime de transfert et de l'indemnité de réinstallation prévue par la loi n"" 63-1240 du 18 décembre 1963 relati"
"4_cri_1972-1973-ordinaire1_063.txt";"1972";"transfert";"1240.0";"9";"proche";"et pour écarter toute discrimi- nation à l'encontre de ces jeunes, le groupe communiste a déposé un amendement qui tend à remplacer le premier alinéa de l'article 1 par le texte suivant : La prime de transfert et de réinstallation prévue par la loi n"" 63-1240 du 18 décembre 1963 est applicable aux j"
"4_cri_1972-1973-ordinaire1_063.txt";"1972";"formation";"1973.0";"5";"moyen";"venir sur ie fait que, -chaque année, des dizaines de milliers de jeunes terminent la période obligatoire de la scolarité sans métier, ou arrivent à la fin du second cycle du second degré sens aucune formation professionnelle ? Les mesurer budgétaires pour 1973 adoptées en première lecture par le ma"
"4_cri_1972-1973-ordinaire1_063.txt";"1972";"formation";"1972.0";"6";"moyen";"vice public de l'emploi, leur premier emploi salarié dans un délai déterminé, après l'achè- vement de leur scolarité ou d'un stage de formation profes- sionnelle ou 'après l'expiration d'un contrat d'apprentissage conclu avant le 1"" juillet 1972. « Les dispositions de l'alinéa précédent sont égaleme"
"4_cri_1972-1973-ordinaire1_063.txt";"1972";"formation";"1972.0";"3";"large";"sionnelle ou 'après l'expiration d'un contrat d'apprentissage conclu avant le 1"" juillet 1972. « Les dispositions de l'alinéa précédent sont également appli- cables aux jeunes gens dont le contrat d'apprentissage a été conclu à partir du 1"" juillet 1972 . A leur égard, est regardé comme premier empl"
"4_qst_4-qst-1969-02-15.txt";"1969";"personnel";"1966.0";"3";"large";"st marié, père de sept enfants, son épouse étant fonctionnaire communale, touche une pension actuelle de 405,50 F par trimestre . Il a travaillé en 1966 comme chauffeur particulier à mi-temps pour un salaire de 280 F net par mois et a vu de ce fait sa pension supprimée le 24 novembre 1966 fle cumul "
"4_qst_4-qst-1969-09-27.txt";"1969";"personnel";"2460.0";"3";"large";"r chaque année . Ces déclarations obligatoires comprennent 1"" déclarations aux Contributions directes 951 jaune : 2"" déclaration aux Contributions indirectes 951 rouge 3"" déclaration nominative des salaire 2460 : 4"" demande d'exonération de taxe d 'apprentissage 6° déclaration nominative des salaire"
"5_cri_1973-1974-ordinaire1_014.txt";"1973";"fonctionnement";"800.0";"7";"proche";"lissements sous contrat simple 4° le réajuste- ment convenable des crédits affectés aux établissements agricoles 5"" la suppression de toute discrimination en matière de bourses d'enseignement, de fournitures scolaires et de transport dont sont l 'objet 800.000 familles dont les enfants fréquentent c"
"5_cri_1973-1974-ordinaire1_014.txt";"1973";"transport";"800.0";"7";"proche";"le 4° le réajuste- ment convenable des crédits affectés aux établissements agricoles 5"" la suppression de toute discrimination en matière de bourses d'enseignement, de fournitures scolaires et de transport dont sont l 'objet 800.000 familles dont les enfants fréquentent ces établisse- ments d'enseig"
"5_cri_1973-1974-ordinaire1_032.txt";"1973";"personnel";"1974.0";"5";"moyen";"er Combrisson, rapporteur spécial . Mesdames, messieurs, pour l'élaboration du rapport de la commission des finances sur les Monnaies et médailles, j'ai distingué les aspects relatifs aux crédits, au personnel, au programme de frappe de l'année 1974, à la gestion et à la nouvelle usine de Pessac. En"
"5_cri_1973-1974-ordinaire1_032.txt";"1973";"investissement";"1972.0";"6";"moyen";"e car elle n'a guère d'actif sérieux. On peut donc en déduire que ce prêt se transformera, par la force des choses, en subvention. Le F.I.D .O .M. ne suffisant pas, et pour cause, à élever le taux d 'investissement dans les départements d'outre-mer, le Gouvernement avait pris, en avril 1972, la déci"
