fichier;annee;nombre;unite;contexte
8_cri_1986-1987-ordinaire1_086.txt;1986;328000;habitants;es ? Pas pour vous ! M. Jean-Claude Martinet. ... qui s'imaginaient que• la Nouvelle-Calédonie connaissait un problème foncier avec 19 000 ou 20 000 kilomètres carrés pour 140 000 habitants 1 La Guadeloupe, c'est 1 780 kilomètres carrés pour plus de 328 000 habitants ! On . savait, messieurs, que vous ne saviez pas grand-chose 1 Mais de là à ne même pas être capable de compter les habitants . .. (Exclamations sur les bancs du groupe socialiste.) M. Robert Le Foll. Heureusement, on a M. Mutinez p
8_cri_1986-1987-ordinaire1_086.txt;1986;327076;habitants;es crédits qui permettaient d'encourager l'arrivée des jeunes en métropole. • 8770 ASSEMBLEE NATIONALE - 2• SEANCE DU 25 NOVEMBRE 1986 M . Frédéric Jalton . Il a eu raison 1 M . Jean Maran. En 1984, alors que la population de la Martinique était de 327 076 habitants, il y a eu 5 715 nais- sances et 2 072 décès, soit un solde positif de 3 643 per- sonnes. Or pendant cette année la population ne s'est accrue que de 485 habitants. Cela signifie que plus de 3 000 per- sonnes sont parties ailleurs,
2_cri_1966-1967-ordinaire1_021.txt;1966;320000;habitants;l'hygiène tropicale, l'intro- duction des règles de prophylaxie, l'amélioration de l'habitat et l'élévation du niveau de vie ont combiné leurs effets dans les départements d'outre-mer. Avec respectivement. dès maintenant, quelque 405.000, 330.000 et 320.000 habitants, la Réunion . la Martinique et la Guadeloupe — si l'on tient compte qu'il s'agit d'iles au relief tourmenté et où les terres exploitables sont de dimensions modestes — suscitent de sérieuses inquiétudes . Quel peut être leur avenir,
4_cri_1968-1969-ordinaire1_050.txt;1968;320000;habitants;uen et de Marseille, ce qui permet d'assurer pour le moment, des prix satisfaisants aux producteurs. J 'en arrive à l'important problème démographique. En octobre 1967, la population des départements d'outre-mer était évaluée par l'I . N. S. E. E. à 320.000 habitants pour la Martinique, 313 .000 pour la Guadeloupe, 430 .000 pour la Réunion et 40.000 pour la Guyane, les taux de i,atalité étant, pour un taux métropolitain de 1,8 p . 100, de 3,5 p. 100 pour la Martinique, 3,6 p. 100 pour la Guadelo
4_cri_1968-1969-ordinaire1_050.txt;1968;320000;habitants;"nt de rappeler tout d'abord, c'est la dispropor- tion que l 'accroissement de la population maintient toujours entre les besoins et les moyens. Ce taux de progression est, en effet, l 'un des plus élevés du monde. Il y a dix ans, en 1958, il y avait 320.000 habitants à la Réunion ; l'île en compte maintenant 430.000 ! Ajoutez à cela le retard pris avant la départementalisation pour l'équipement et le développement et vous aurez une idée de la complexité initiale des problèmes qui se posent et qu"
7_cri_1981-1982-ordinaire1_070.txt;1981;318000;habitants;étante qui est liée, pour une bonne part, au coût élevé et aux conditions d'exploitation du transport aérien. Cette détérioration de l'économie locale a eu pour consé- quence une situation dramatique de l'emploi. En Guadeloupe, sur une population de 318 000 habitants, comptant 110 C00 actifs, on dénombre plus de 25 p . 100 de chômeurs. Avec ses 27 000 chô- meurs, notre département enregistre un taux de chômage quatre fois plus élevé qu'en métropole. M. Jacques Brunhes. C'est le fruit de votre po
4_cri_1968-1969-ordinaire1_050.txt;1968;315000;habitants;M. le président . La parole est à M . Lacavé . (Applaudissements sur les bancs du groupe communiste.) M. Paul Lacavé . Monsieur le président, monsieur le secrétaire d'Etat, mesdames, messieurs, à 7.00d kilomètres de la métropole, la Guadeloupe, avec 315.000 habitants, vit dans un état d'insé- curité qui s'accroît sans cesse. Sur 140.000 personnes aptes au travail, 65 .000 sont occupées toute l'année. Le niveau de vie est généralement bas. Les usines, qui représentaient la principale ressource in
2_cri_1966-1967-ordinaire1_021.txt;1966;300000;habitants;lème économique' très préoccupant découlant de l'anéantissement de la production bananière de ce département, production qui contribue dans une proportion importante à la vie économique du pays. En Guadeloupe, 80.000 personnes, sur une population de 300.000 habitants, vivent de la banane, du stade de la plantation à celui de l'exportation, 80 .000 personnes qui du jour au lende- main se sont trouvées privées de tout moyen de subsistance. Alors, que faire ? J'ai exposé à la commission des lois l
4_cri_1969-1970-ordinaire1_033.txt;1969;300000;travailleurs;ette revendication légitime . La presse française et internationale se fait l'écho des regrettables conséquences de la dévaluation du franc pour beaucoup de travailleurs immigrés et leurs familles. Lors de la dévaluation du franc intervenue en 1958, 300.000 travailleurs immigrés, en particulier italiens . se trouvèrent pénalisés. Depuis, il est venu en France plus d 'un million et demi d 'immigrés. On peut estimer qu'aujourd 'hui un million d'entre eux n 'ont pu se faire rejoindre par leur famil
4_cri_1970-1971-ordinaire1_023.txt;1970;300000;personnes;plus en plus importante au détriment des emplois réguliers ». Les études de la commission du VI' plan évaluent, compte tenu de la situation présente et du rythme actuel des migrations, la demande globale d'emplois pour les quinze ans qui viennent à 300.000 personnes. Alors que se dégradait sur le plan économique la situation globale des départements d'outre-mer, malgré la crise des sec- teurs productifs, les importations de biens de consommation ont augmenté dans tous les départements — 10 p .
4_cri_1972-1973-ordinaire1_045.txt;1972;300000;habitants;crit. La Guyane est le plus . étendu des départements d'outre-mer avec 90.000 kilomètres carrés, mais le moins peuplé, puisqu 'elle ne compte que 45 .000 habitants environ. Avec une densité de peuplement semblable, la France de l'hexagone compterait 300.000 habitants. Cette disproportion entre l'étendue du territoire et le chiffre de la population explique en grande partie l'absence de déve- loppement économique du département . En effet, les ressources potentielles considérables de la Guyane so
6_cri_1979-1980-ordinaire1_044.txt;1979;300000;personnes;tie française et du rassemblement pour la République.) M . le président . La parole est à M. Alain Vivien. M. Alain Vivien . Monsieur le secrétaire d'Etat, les cinq minutes généreusement imparties au groupe socialiste pour traiter du sort de plus de 300 000 personnes m'obligent à borner mon propos au sujet le plus urgent, c'est-à-dire les événements redoutables qui se préparent en Nouvelle-Calédonie . J'aurais voulu cependant vous poser quelques questions sur les condi- tions dans lesquelles se
4_cri_1969-1970-ordinaire1_033.txt;1969;270000;habitants;national de la Nouvelle-Calédonie, de la Polynésie, du territoire des Afars et des Issas, des Comores, qui revendiquent le remplacement du statut actuel de type colonial Assi :~IIILI:L NATIONALE Si:DU 5 NOVEMBRE 1969 Pour soigner une population de 270.000 habitants, il n'y a que douze médecins en service et les crédits affectés aux achats de médicaments sont si modiques qu'il n'est pas décent de les citer ici. Vous avez pris en charge une partie des frais de fonction- nement de l'hôpital princ
7_cri_1981-1982-ordinaire1_070.txt;1981;250000;personnes;"ième de la population de file, vivent en métropole . La plupart d'entre eux y ont été conduits par l'intermédiaire du BUMIDOM, société d'Etat créée en 1963 . 3208 ASSEMBLEE NATIONALE — 2' SEANCE DU 5 NOVEMBRE 1981 Favoriser Pians ; mulon ;!'environ 250 000 personnes, afin que ce territoire attei^ne au total le chiffre de 400000 personnes, tel était l'objectif essentiel de ce plan, qui mettait en oeuvre une colonisation de peuplement à des fins politiques très claires. Il s'agissait de rendre mi"
5_cri_1976-1977-ordinaire1_062.txt;1976;216000;habitants;, j'examinerai briève- ment la situation économique des divers territoires, que les précédents rapporteurs ont déjà évoquée. Le territoire français des Afars et des Issas, dont l'accession prochaine à l'indépendance est probable, compte actuellement 216000 habitants, dont 137000 dans les centres urbains . Nous avons d'ailleurs éprouvé des difficultés pour connaître ces chiffres. Le Gouvernement y a orienté son action dans plusieurs direc- tions. L'activité portuaire s'est légèrement accrue . L'a
4_cri_1970-1971-ordinaire1_023.txt;1970;215000;personnes;é de l'emploi ? L'I. N. S. E. E. a effectué une enquête portant sur la situation de l'emploi à La Réunion en 1967 et 1969 . Environ 54 p. 100 des personnes d'âge actif n'avaient pas d'emploi au moment où ont eu lieu ces enquêtes . Autrement dit, sur 215.000 personnes d'âge actif — de quinze à cinquante-neuf ans — 87 .000 ont un emploi régulier, 51.000 ont un emploi irrégulier et 87 .000 sont inactives. En outre, 1'I . N. S. E. E. note que a la proportion de chômeurs partiels devient de plus en p
2_qst_2-qst-1964-09-12.txt;1964;200000;habitants;"t sur un terrain sont destinés à être démolis lorsque leur valeur intrinsèque est inférieure à un pourcentage du prix de cession ». Ce pourcentage a été fixé à 30 p. 100 par le décret n"" 64.78 du 29 janvier 1964 (25 p. 100 dans les villes de plus de 200.000 habitants(. Il lui demande : 1"" s'il suffit, pour qu 'un terrain bâti soit soumis à l'impôt sur la plus-value de cession que les cons- tructions qu 'il supporte aient une surface développée inférieure à 15 p. 100 de la surface du terrain ; 2"""
5_cri_1973-1974-ordinaire1_014.txt;1973;200000;habitants;s collectivités locales qui n'auront pas la priorité pourront quand même emprunter, mais en sacrifiant tel autre équi- pement, si elles estiment, par exemple, plus urgent de réaliser des parcs de stationnement — je pense ici aux villes de 100 .000 à 200.000 habitants qui ne sont pas des cités touristiques. Autrement dit, il fallait placer des garde-fous pour éviter que les priorités ne soient accordées à tout le monde. Je suis donc disposé à accepter l'amendement ale M . Briane qui permet d'appl
5_cri_1974-1975-ordinaire1_046.txt;1974;200000;habitants;100, la part des jeunes à la recherche d 'un premier emploi représentant un pourcentage élevé de ces demandes. Il y avait à la fin de septembre 7 399 demandes d'emploi non satisfaites, au lieu de 4614 au mois de juin . L 'arron- dissement de Briey : 200000 habitants, a été le secteur le plus touché puisque c 'est dans cet arrondissement qu 'est intervenue la quasi-totalité des 4 740 suppressions d 'emploi dans la sidérurgie et les mines de fer et que les créations d 'emploi ne représentent que q
6_cri_1979-1980-ordinaire2_067.txt;1979;200000;personnes;ngt années de domination coloniale et vous persévérez dans cette erreur. On ne peut effacer de la mémoire collective du peuple kanak le génocide dont la responsabilité incombe aux autorités coloniales et qui, vous le savez, a réduit la population de 200 000 personnes dans les années 1850 à 30 000 au début de ce siècle. On ne peut plus empêcher la prise de conscience par le peuple kanak de l'injustice dont il est victime : spolié des terres qu'il occupait, il se voit refuser son droit légitime à
4_cri_1972-1973-ordinaire1_045.txt;1972;150000;Antillais;vent être formés sont aussitôt dirigés sur la métropole. C'est même la tâche essentielle du bureau des migrations dans les départements d'outre-mer que d'avoir envoyé vers la métropole, vers un sous-emploi, vers un véritable sous-prolétariat plus de 150.000 Antillais au cours de ces neuf dernières années. En outre, j'ai constaté que cette formation professionnelle est souvent - ssurée par un personnel enseignant lui-même assez peu qualii' , 99 p . 100 de ses effectifs proviennent de cadres fourn
