fichier;annee;valeur_francs;unite;contexte
5_cri_1976-1977-ordinaire1_061.txt;1976;1113700000;francs;"AR L'ETAT e Autorisations de programme : 161 890 000 francs; « Crédits de paiement : 57 313 000 francs . a TITRE VI . — SUBVENTIONS D ' INVESTISSEMENT ACCORDÉES PAR L'ETAT e Autorisations de programme : 1 687 030 000 francs ; « Crédits de paiement : 1 113 700 000 francs. Personne ne demande la parole ? . .. Je mets aux voix le titre III. (Le titre III est adopté .) M. le président. Sur le titre IV, la parole est à M. Duroure. M . Roger Duroure . Monsieur le ministre d'Etat, au terme de ce débat,"
6_cri_1978-1979-ordinaire1_050.txt;1978;1016444000;francs;"torisations de programme et des crédits de paiement applicables aux dépenses en capital des services ciel (mesures nouvelles). TITRE V. — INVESTISSEMENTS EXÉCUTÉS PAR L'ETAT « Autorisations de programme, 1 515 675 000 francs ; s Crédits de paiement, 1 016 444 000 francs, » TITRE VI. — SUBVENTIONS D'INVESTISSEMENT ACCORDÉES PAR L ' ETAT e Autorisations de programme, 17 625 000 francs ; e Crédits de paiement, 10 275 000 francs . » Personne ne demande la parole sur le titre III ? ... Je mets aux vo"
6_cri_1978-1979-ordinaire1_050.txt;1978;968806000;francs;"AR L ' ETAT • Autorisations de programme, 120 970 000 francs ; « Crédits de paiement, 57 315 000 francs . e TITRE VI. — SUBVENTIONS D ' INVESTISSEMENT ACCORDÉES PAR L ' ETAT e Autorisations de programme, 1 415 260 000 francs ; « Crédits de paiement, 968 806 000 francs. s Je mets aux voix le titre III. M. le ministre des transports. Je demande un scrutin public. (Mouvements divers sur les bancs des socialistes et des commu- nistes.) M. le président. Je suis saisi par le Gouvernement d'une demande"
5_cri_1974-1975-ordinaire1_046.txt;1974;751738232;francs;ocialiste également. (Ce titre est adopté .) ESSENCES ET POUDRES M. le président. J'appelle maintenant les crédits du budget annexe des essences. Personne ne demande la parole ? . .. Je mets aux voix les crédits ouverts à l'article 27, au chiffre de 751 738 232 francs. (Ces crédits sont adoptés .) M. le président. Je mets aux voix les autorisations de pro- gramme inscrites au paragraphe I de l'article 28, au titre des mesures nouvelles, au chiffre de 44 300 000 francs. (Ces autorisations de prog
5_cri_1977-1978-ordinaire1_048.txt;1977;728757011;francs;sociaux.) M. le président. J'appelle maintenant les crédits inscrits à la ligne e Travail et santé. — I : Section commune ». ETAT B Répartition des crédits applicables aux dépenses ordinaires des services civils (mesures nouvelles). c TITRE III : — 728 757 011 francs. ETAT C Répartition des autorisations de programme et des crédits de paiement applicables aux dépenses en capital des services civils (mesures nouvelles). TITRE V. — INVESTISSEMENTS EXÉCUTÉS PAR L ' ETAT c Autorisations de programm
6_cri_1979-1980-ordinaire1_032.txt;1979;556761000;francs;"'BTAT « Autorisations de programme : 2 987 000 000 francs ; « Crédits de paiement : 1 802 802 000 francs.» TITRE VI. — SUBVENTIONS D 'INVESTISSEMENT ACCORDÉES PAR L ' ETAT « Autorisations de programme : 2 646 625 000 francs ; « Crédits de paiement : 556 761 000 francs. » ETAT D Autorisations d'engagement accordées pa r anticipation sur les crédits à ouvrir en 1981. TITRE III IV. — Transports intérieurs. e Chap. 35-42. — Routes et circulation routière. — Entretien et exploitation : 15 millions de"
6_cri_1979-1980-ordinaire1_032.txt;1979;455000000;F;ux voix le titre III de l'état D. (Le titre III est adopté .) Article 56. M. le président. J'appelle maintepant l'article 56 rattaché à ce budget: s Art. 56. — La subvention prévue à l'article 66 de la loi de finances pour 1972 est fixée pour 1980 à 455 000 000 F dans l'hypothèse d 'un déclassement de la totalité du réseau national secondaire autorisé par ce texte . s La parole est à M . le ministre des transports . 8842 ASSEMIBLEE NATIONALE — S• M. le ministre des transports . L'article 56 cor
5_cri_1974-1975-ordinaire1_046.txt;1974;423039366;francs;u titre des mesures nouvelles, au chiffre de 44 300 000 francs. (Ces autorisations de programme sont adoptées .) M. le président . Je mets aux voix les crédits ouverts au para- graphe II de l'article 28, au titre des mesures nouvelles, au chiffre de 423 039 366 francs. (Ces crédits sont adoptés .) M. le président . J'appelle maintenant les crédits du budget annexe des poudres. Personne ne demande la parole ? . .. Je mets aux voix les crédits ouverts à l'article 27, au chiffre de 279 585 997 fran
7_cri_1984-1985-ordinaire1_039.txt;1984;350604000;francs;uvelles). TITRE V . — INVESTISSEMENTS EXÉCUTÉS PAR L' ETAT s Autorisations de programme : 39 316 000 francs. « Crédits de paiement : 23 590 000 francs. s TITRE VI . — SUBVENTIONS D ' INVESTISSEMENT ACCORDÉES PAR L'ETAT « Autorisations de programme : 350 604 000 francs. Crédits de paiement : 159 530 000 frimai., Je mets aux voix la réduction de crédits du titre IV. (La réduction de crédits est adoptée .) M. le président. Je mets aux voix les autorisations de pro- gramme et les crédits de paiement
7_cri_1982-1983-ordinaire1_057.txt;1982;338097000;francs;"lles). TITRE V . — INVESTISSEMENTS EXÉCUTÉS PAR L ' ETAT e Autorisations de programme : 43 600 000 francs ; «Crédits de paiement : 30 786 000 francs. s TITRE VI . — SUBVENTIONS D ' INVESTISSEMENT ACCORDÉES PAR L ' ETAT < Autorisations de programme : 338 097 000 francs ; < Crédits de paiement : 118 562 000 francs.> Personne ne demande la parole ? . .. Je mets aux voix le titre IV. (Le titre IV est adopté .) M. le président . Je mets aux voix les autorisations de pro- gramme du titre V. (Les autor"
6_cri_1979-1980-ordinaire1_032.txt;1979;302787302;francs;"lique et de l'union pour la démocratie française .) M. le président. J'appelle les crédits inscrits à la ligne Trans- ports e . ETAT B Répartition des crédits applicables aux dépenses ordinaires des services civils (mesures nouvelles). « Titre III : 302 787 302 francs ; e Titre IV : 3 019 086 282 francs. ETAT C Répartition des autorisations de programme et des crédits de paiement applicables aux dépenses en capital des services civils (mesures nouvelles). TITRE V. — INVESTISSEMENTS EXÉCUTÉS PAR"
7_cri_1981-1982-ordinaire1_070.txt;1981;279600000;francs;"fait quelques réserves, que je crois fondées, sur la départementalisation . J'ai déjà dit que le 3218 ASSEMBLEE NATIONALE — 2• SEANCE DU 5 NOVEMBRE 1981 TITRE VI. — SUBVENTIONS D ' INVESTISSEMENT ACCORDÉES PAR L'ETAT e Autorisations de programme : 279 600 000 francs ; e Crédits de paiement : 90 699 000 francs . s Sur le titre IV de l'état B, 11IM. Bertile, Jalton et les membres du groupe socialiste ont présenté un amendement, n"" 71, ainsi rédigé s Réduire les crédits de 7 750 000 francs . a La"
5_cri_1974-1975-ordinaire1_046.txt;1974;279585997;francs;, au chiffre de 423 039 366 francs. (Ces crédits sont adoptés .) M. le président . J'appelle maintenant les crédits du budget annexe des poudres. Personne ne demande la parole ? . .. Je mets aux voix les crédits ouverts à l'article 27, au chiffre de 279 585 997 francs. (Ces crédits sont adoptés .) M. le président. Je mets aux voix la réduction de crédit proposée au paragraphe II de l'article 28, au titre des mesures nouvelles, au chiffre de 210 773 996 francs. (La réduction de crédit est adoptée
5_cri_1976-1977-ordinaire1_062.txt;1976;262693000;francs;"ses en capital des ser- vices civils (mesures nouvelles). TITRE V. — INVESTISSEMENTS EXÉCUTÉS PAR L ' ETAT Autorisations de programme : 799 000 francs. » TITRE VI . — SUBVENTIONS D ' INVESTISSEMENT ACCORDÉES PAR L'ETAT s Autorisations de programme : 262 693 000 francs ; e Crédits de paiement : 53 258 000 francs. e MM. Alain Vivien, Frêche, Césaire, Jalton, Houteer, Boulay et les membres du groupe du parti socialiste et des radicaux de gauche et apparentés ont présenté un amendement n"" 271 ainsi"
6_cri_1979-1980-ordinaire1_045.txt;1979;242875000;francs;"elles). TITRE V. — INVESTISSEMENTS EXÉCUTÉS PAR L 'ETAT e Autorisations de programme : 40 millions de francs «Crédits de paiement : 28 millions de francs.» TITRE VI . — SUBVENTIONS D'INVESTISSEMENT ACCORDÉES PAR L'ETAT e Autorisations de programme : 242 875 000 francs ; e Crédits de paiement : 125 660 000 francs .» Sur le titré III, je suis saisi de deux amendements identiques, n"" 358 et 368. L 'amendement n° 358 est présenté par M. Didier Julia ; l'amendement n° 368 est présenté par M. Claude M"
5_cri_1974-1975-ordinaire1_047.txt;1974;227700000;francs;s en capital des services civils (mesures nouvelles). TITRE V . — INVESTISSEMENTS EXÉCUTÉS PAR L ' ETAT « Autorisations de programme : 750 000 francs . » TITRE VI. — SUBVENTIONS D' INVESTISSEMENT ACCORDÉES PAR L ' ETAT « Autorisations de programme : 227 700 000 francs : « Crédits de paiement : 106 420 000 francs. » Personne ne demande la parole ? . .. Je mets aux voix le titre m. (Le titre III est adopté .) M. le président . Je mets aux voix le titre IV. (Le titre 1V est adopté .) M. le présiden
5_cri_1974-1975-ordinaire1_046.txt;1974;210773996;francs;voix les crédits ouverts à l'article 27, au chiffre de 279 585 997 francs. (Ces crédits sont adoptés .) M. le président. Je mets aux voix la réduction de crédit proposée au paragraphe II de l'article 28, au titre des mesures nouvelles, au chiffre de 210 773 996 francs. (La réduction de crédit est adoptée .) M. le président. J'appelle maintenant l'article 47 rattaché à la discussion des crédits militaires. Frais d'exploitation des services, 500 000 francs. Entretien des immeubles et du domaine mi
5_cri_1977-1978-ordinaire1_048.txt;1977;176179000;francs;"ETAT C Répartition des autorisations de programme et des crédits de. paiement applicables aux dépenses en capital des services civils (mesures nouvelles). TITRE VI. — SUBVENTIONS D 'INVESTISSEMENT ACCORDÉES FAR L'ETAT c Autorisations de programme : 176 179 000 francs ; e Crédits de paierr :nt : 55 265 000 francs. s P.;:nonne ne demande la parole ? . .. Je mets aux voix le titre III. (Le titre III est adopté). M. let résident. Je mets aux voix la réduction de crédit pro.• posée po ir le titre 1V"
7_cri_1984-1985-ordinaire1_039.txt;1984;165387000;francs;ures nouveUes). TITRE V . — INVESTISSEMENTS EXÉCUTÉS PAR L ' ETAT s Autorisations de programme : 5297000 francs. «Crédits de paiement : 2 061 000 francs.» TITRE VI. — SUBVENTIONS D 'INVESTISSEMENT ACCORDÉES PAR L ' ETAT «Autorisations de programme : 165 387 000 francs. « Crédits de paiement : 90 481 000 francs.» Je mets aux voix la réduction de crédits du titre IV. (La réduction de crédits est adoptée.) M. le président. Je mets aux voix les autorisations de pro- gramme et les crédits de paiement
7_cri_1982-1983-ordinaire1_057.txt;1982;164400000;francs;"nouvelles). TITRE V . — INVESTISSEMENTS EXÉCUTÉS PAR L ' ETAT e Autorisations de programme : 6 540 000 francs ; s Crédits de paiement : 5 397 000 francs.» TITRE VI . — SUBVENTIONS D'INVESTISSEMENT ACCORDÉES PAR L 'ETAT «Autorisations de programme : 164 400 000 francs ; e Crédits de paiement : 86 557 000 francs.» Personne ne demande la parole ? . .. Je mets aux voix le titre IV. (Le titre IV est adopté .) M. le président. Je mets aux voix les autorisations de pro gramme du titre V. (Les autorisa"
5_cri_1976-1977-ordinaire1_061.txt;1976;161890000;francs;"0 330 000 francs. ETAT C Répartition des autorisations de programme et des crédits de paiement applicables aux dépenses en capital des services civils (mesures nouvelles). TITRE V. — INVESTISSEMENTS EXÉCUTÉS PAR L'ETAT e Autorisations de programme : 161 890 000 francs; « Crédits de paiement : 57 313 000 francs . a TITRE VI . — SUBVENTIONS D ' INVESTISSEMENT ACCORDÉES PAR L'ETAT e Autorisations de programme : 1 687 030 000 francs ; « Crédits de paiement : 1 113 700 000 francs. Personne ne demande"
6_cri_1978-1979-ordinaire1_050.txt;1978;159823830;francs;"J'appelle maintenant les crédits inscrits à la ligne « Transports. — IV. — Marine marchande ». ETAT B Répartition des crédits applicables aux dépenses ordinaires des services civils (mesures nouvelles). « Titre III : 23 456 255 francs ; « Titre IV : 159 823 830 francs. » ETAT C Répartition des autorisations de programme et des crédits de paiement applicables aux dépenses en capital des services civils (mesures nouvelles). TITRE V . — INVESTISSEMENTS EXÉCUTÉS PAR L ' ETAT • Autorisations de progr"
7_cri_1984-1985-ordinaire1_039.txt;1984;159530000;f;UTÉS PAR L' ETAT s Autorisations de programme : 39 316 000 francs. « Crédits de paiement : 23 590 000 francs. s TITRE VI . — SUBVENTIONS D ' INVESTISSEMENT ACCORDÉES PAR L'ETAT « Autorisations de programme : 350 604 000 francs. Crédits de paiement : 159 530 000 frimai., Je mets aux voix la réduction de crédits du titre IV. (La réduction de crédits est adoptée .) M. le président. Je mets aux voix les autorisations de pro- gramme et les crédits de paiement du titre V. (Les autorisations de program
5_cri_1977-1978-ordinaire1_048.txt;1977;147259368;francs;"V sont adoptés.) M. le président . J'appelle maintenant les crédits inscrits à la ligne e Travail et santé. — II : Travail s. ETAT .B Répartition des crédits applicables aux dépenses ordinaires des services civils (mesures nouvelles). e TITRE III : -147 259 368 francs ; TITRE IV : — 2 943 634 448 francs. s ETAT C Répartition des autorisations de programme et des crédits de. paiement applicables aux dépenses en capital des services civils (mesures nouvelles). TITRE VI. — SUBVENTIONS D 'INVESTISSE"
7_cri_1982-1983-ordinaire1_057.txt;1982;138830000;francs;gue M . Dousset. Or, monsieur le secrétaire d'Etat, ces acquisitions supposent des moyens Importants . Il faut pourtant constater une nette régression des crédits affectés au F. L D . E. S. puisque la dotation de la section générale, qui s'élevait à 138 830 000 francs en 1981, a été ramenée à 751140000 francs .en 1982. Les auto- risations de programme pour 1983 sont actuellement fixées à 117 430 000 francs. Je crains que ces crédits ne soient insuffisants pour mettre en oeuvre une réforme fonciè
6_cri_1978-1979-ordinaire1_058.txt;1978;126079563;francs;"la vache tondeuse ! M . le président . J'appelle maintenant les crédits inscrits à la ligne « Territoires d'outre-mer s. ETAT B Répartition des crédits applicables aux dépenses ordinaires des services civils (mesures nouvelles). s Titre III : moins 126 079 563 francs ; s Titre IV : 10 244 774 francs . » ETAT C Répartition des autorisations de programme et des crédits de paiement applicables aux dépenses en capital des services civils (mesures nouvelles). TITRE V . — INVESTISSEMENTS EXÉCUTÉS PAR"
